Model,Vectorization,Accuracy,Precision,Recall,F1-Score
SVM (TF-IDF),TF-IDF,0.8757921419518377,0.8783639792410649,0.8757921419518377,0.8750620286831637
Random Forest (TF-IDF),TF-IDF,0.8124207858048162,0.814726000456531,0.8124207858048162,0.811715944566317
Gradient Boosting (TF-IDF),TF-IDF,0.7832699619771863,0.8136205223337503,0.7832699619771863,0.7869953295849238
SVM (Word2Vec),Word2Vec,0.8339670468948035,0.8386859471525528,0.8339670468948035,0.8326738331615632
Random Forest (Word2Vec),Word2Vec,0.8149556400506971,0.8160841735050123,0.8149556400506971,0.8138626843482802
Gradient Boosting (Word2Vec),Word2Vec,0.7984790874524715,0.8011737948815866,0.7984790874524715,0.7979438815063145
